SRC300_v1.1 字词库
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共200道题
不重复单字总数：309个
文本覆盖率：79.68%

格式：序号 | 单字 | 词组 | 字频
191 | 两 | 两子 | 19
192 | 三 | 三千 | 30
193 | 四 | 四周 | 22
194 | 七 | 七子 | 19
195 | 些 | 些子 | 25
196 | 刻 | 立刻 | 22
197 | 边 | 旁边 | 35
198 | 忽 | 忽子 | 28
199 | 而 | 而且 | 24
200 | 睛 | 睛子 | 29
