SRC800_v1.1 字词库（新增部分）
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
新增297道题
累计不重复单字：800个

格式：序号 | 单字 | 词组 | 字频
182 | 帘 | 帘子 | 2
183 | 邻 | 邻子 | 2
184 | 居 | 居子 | 2
185 | 极 | 极了 | 5
186 | 级 | 级子 | 4
187 | 店 | 店子 | 1
188 | 豪 | 豪子 | 1
189 | 华 | 华子 | 1
190 | 镶 | 镶子 | 1
191 | 嵌 | 嵌子 | 1
192 | 贵 | 贵子 | 3
193 | 珍 | 神珍 | 6
194 | 珠 | 珠子 | 3
195 | 玛 | 玛子 | 1
196 | 瑙 | 瑙子 | 1
197 | 缭 | 缭子 | 1
198 | 晕 | 晕子 | 1
199 | 珊 | 珊子 | 1
200 | 瑚 | 瑚子 | 1
201 | 彤 | 彤子 | 2
202 | 蟹 | 蟹子 | 3
203 | 微 | 微子 | 5
204 | 拱 | 拱子 | 2
205 | 使 | 使子 | 4
206 | 呵 | 呵呵 | 8
207 | 嘀 | 嘀子 | 1
208 | 咕 | 咕子 | 3
209 | 哼 | 哼子 | 3
210 | 螃 | 螃子 | 1
211 | 求 | 求子 | 2
212 | 挑 | 挑子 | 4
213 | 剔 | 剔子 | 1
214 | 捣 | 捣子 | 1
215 | 错 | 不错 | 5
216 | 希 | 希子 | 1
217 | 望 | 望去 | 4
218 | 呦 | 呦子 | 2
219 | 蛋 | 蛋子 | 2
220 | 糕 | 糕子 | 3
221 | 掂 | 掂子 | 2
222 | 啪 | 啪子 | 3
223 | 扔 | 扔子 | 2
224 | 斤 | 百斤 | 8
225 | 咬 | 咬子 | 3
226 | 杆 | 杆子 | 2
227 | 乌 | 乌子 | 2
228 | 龟 | 龟子 | 1
229 | 容 | 容子 | 4
230 | 易 | 易子 | 2
231 | 砰 | 砰子 | 2
232 | 肩 | 肩子 | 1
233 | 童 | 童子 | 2
234 | 冰 | 冰子 | 2
235 | 插 | 插子 | 1
236 | 量 | 量子 | 5
237 | 标 | 标子 | 1
238 | 婆 | 婆子 | 1
239 | 拍 | 一拍 | 5
240 | 腿 | 腿子 | 1
241 | 竖 | 竖子 | 1
242 | 禹 | 禹子 | 1
243 | 治 | 治子 | 1
244 | 江 | 江子 | 1
245 | 浅 | 浅子 | 1
246 | 奋 | 兴奋 | 4
247 | 期 | 期子 | 1
248 | 待 | 待子 | 2
249 | 嫌 | 嫌子 | 1
250 | 粗 | 粗子 | 1
251 | 柱 | 铁柱 | 7
252 | 表 | 表情 | 7
253 | 淡 | 淡子 | 4
254 | 硬 | 硬子 | 2
255 | 嗤 | 嗤嗤 | 8
256 | 紫 | 紫子 | 4
257 | 懂 | 懂子 | 2
258 | 吉 | 吉子 | 1
259 | 祥 | 祥云 | 4
260 | 继 | 继续 | 9
261 | 续 | 续子 | 9
262 | 针 | 小针 | 6
263 | 瞬 | 瞬子 | 1
264 | 棍 | 棍子 | 3
265 | 握 | 握子 | 3
266 | 流 | 流子 | 5
267 | 推 | 推子 | 1
268 | 沉 | 沉子 | 4
269 | 胆 | 胆子 | 3
270 | 战 | 战子 | 6
271 | 收 | 收了 | 8
272 | 谢 | 谢子 | 3
273 | 嘴 | 嘴子 | 5
274 | 既 | 既子 | 4
275 | 总 | 总子 | 3
276 | 配 | 配子 | 2
277 | 穷 | 穷子 | 1
278 | 份 | 份子 | 2
279 | 麻 | 麻子 | 3
280 | 烦 | 烦子 | 2
281 | 愿 | 愿意 | 3
282 | 骗 | 骗子 | 3
283 | 帮 | 你帮 | 4
284 | 缺 | 缺子 | 2
285 | 僵 | 僵子 | 2
286 | 兄 | 兄子 | 1
287 | 条 | 条子 | 4
288 | 遍 | 一遍 | 3
289 | 咱 | 咱们 | 8
290 | 脆 | 脆子 | 1
291 | 挡 | 挡子 | 3
292 | 默 | 默子 | 1
293 | 压 | 压子 | 1
294 | 饭 | 饭子 | 2
295 | 醉 | 醉子 | 3
296 | 付 | 付子 | 2
297 | 杀 | 杀子 | 1
